Do,Ph,ORP,EC,TDS,Water_Temp,CDO,CpH,CORP,CEC,CTDS,CWT,wqc
4.628,7.22,367.33,255.914,213.099,27.259,2,3,3,3,3,4,Unpolluted
4.454,7.165,394.22,260.215,201.369,27.161,2,3,3,3,3,4,Unpolluted
5.031,7.11,112.713,438.71,207.234,26.673,2,3,2,3,3,4,Polluted
4.628,7.303,85.725,281.72,207.234,27.064,2,3,2,3,3,4,Polluted
4.41,7.11,58.827,1544.086,213.099,27.161,2,3,2,1,3,4,Polluted
4.367,7.11,31.921,881.721,207.234,27.161,2,3,2,4,3,4,Polluted
4.288,7.22,4.95,270.968,203.324,27.259,2,3,1,3,3,4,Polluted
4.497,7.385,22.095,1554.839,218.964,27.161,2,3,1,1,3,4,Polluted
4.41,7.165,49.083,1580.645,197.459,27.161,2,3,2,1,3,4,Polluted
4.856,7.193,76.054,1552.688,197.459,26.77,2,3,2,1,3,4,Polluted
4.764,7.165,103.066,1574.193,207.234,26.673,2,3,2,1,3,4,Polluted
4.497,7.165,129.932,1565.591,213.099,27.064,2,3,2,1,3,4,Polluted
4.288,7.138,156.911,249.462,207.234,27.455,2,3,2,3,3,4,Polluted
4.288,7.33,183.923,1070.968,189.638,27.161,2,3,2,4,3,4,Polluted
4.41,7.11,210.862,258.065,197.459,27.357,2,3,2,3,3,4,Polluted
4.856,7.138,237.744,245.161,207.234,26.477,2,3,2,3,3,4,Polluted
4.454,7.303,264.682,1556.989,207.234,27.357,2,3,2,1,3,4,Polluted
4.454,7.193,291.637,1548.387,189.638,27.357,2,3,2,1,3,4,Polluted
4.628,7.33,318.584,279.57,207.234,27.259,2,3,3,3,3,4,Unpolluted
5.031,7.385,345.515,1565.591,211.144,26.575,2,3,3,1,3,4,Polluted
5.031,7.138,372.421,281.72,203.324,26.868,2,3,3,3,3,4,Unpolluted
4.902,7.138,399.392,668.817,207.234,26.868,2,3,3,4,3,4,Unpolluted
4.497,7.385,107.516,1572.043,218.964,27.65,2,3,2,1,3,4,Polluted
4.628,7.138,80.577,466.667,201.369,27.161,2,3,2,3,3,4,Polluted
4.541,7.138,53.63,864.516,197.459,27.455,2,3,2,4,3,4,Polluted
4.671,7.193,26.773,1554.839,207.234,27.455,2,3,2,1,3,4,Polluted
4.671,7.303,0.142,288.172,207.234,27.846,2,3,1,3,3,4,Polluted
5.031,7.11,27.178,1367.742,207.234,26.673,2,3,2,4,3,4,Polluted
4.671,7.11,54.117,367.742,197.459,27.455,2,3,2,3,3,4,Polluted
4.41,7.385,81.023,1363.441,211.144,27.65,2,3,2,4,3,4,Polluted
4.706,7.165,107.962,268.817,197.459,27.259,2,3,2,3,3,4,Polluted
4.541,7.165,134.925,292.473,203.324,27.65,2,3,2,3,3,4,Polluted
4.497,7.165,161.782,1576.344,207.234,27.748,2,3,2,1,3,4,Polluted
4.749,7.22,188.746,1584.946,203.324,27.455,2,3,2,1,3,4,Polluted
4.41,7.193,215.717,1554.839,203.324,27.65,2,3,2,1,3,4,Polluted
4.749,7.193,242.59,1593.548,207.234,27.259,2,3,2,1,3,4,Polluted
